"code","name","sector","section","has_item","reg_day","code","reg_day","open","high","low","close","change_price","change_rate","volume","margin_rate","volume_retail","volume_insti","volume_foreign","volume_program","foreign_rate","volume_short","cap"
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-02,780,790,775,780,10,1.3,693660,6.19,-50293,0,100586,0,0.15,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-01,770,785,760,770,5,0.65,523010,5.95,-16628,0,33256,0,0.04,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-06-30,785,795,765,765,-15,-1.92,516763,5.85,0,0,0,0,0.0,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-06-29,795,800,770,780,-10,-1.27,579969,6.04,0,0,0,0,0.0,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-06-26,810,815,790,790,-15,-1.86,692646,5.92,61016,0,-121032,0,0.0,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-06-25,795,810,780,805,20,2.55,1305438,5.82,-60311,0,120622,0,0.14,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-06-24,785,795,765,785,5,0.64,706820,6.32,16967,0,-33934,0,0.0,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-06-23,785,795,770,780,-25,-3.11,1594397,6.29,17269,0,-34538,0,0.04,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-06-22,810,820,800,805,-5,-0.62,672334,6.49,-13893,0,27786,0,0.08,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-06-19,845,845,800,810,-30,-3.57,1273109,6.39,99966,0,-199932,0,0.05,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-06-18,820,845,790,840,25,3.07,1671736,6.93,-140547,0,241094,0,0.27,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-06-17,835,845,810,815,-25,-2.98,1260881,6.7,95362,0,-190724,0,0.0,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-06-16,825,850,825,840,5,0.6,884211,6.82,-71472,0,143644,0,0.21,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-06-15,840,850,825,835,0,0.0,1027241,6.89,-23540,0,47080,0,0.05,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-06-12,845,855,825,835,0,0.0,836760,7.29,0,0,0,0,0.0,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-06-11,845,855,830,835,-5,-0.6,931285,7.26,13925,0,-27850,0,0.0,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-06-10,845,850,825,840,5,0.6,774615,6.84,-13925,0,27850,0,0.03,0,0
